Role,Name,Name Tag,Perk Name,Perk Tag,Desc,Teach Level
Survivant,Meg Thomas,MT,Rapide & Silencieux,QuickQuiet,Vous faites moins de bruit que les autres en sautant par-dessus les obstacles ou en vous cachant dans des casiers. La distance à laquelle le bruit causé par ces actions est détecté diminue de 100 % Cet effet ne peut être déclenché qu'une fois toutes les 30/25/20 secondes.,30
Survivant,Meg Thomas,MT,Course Effrénée,SprintBurst,"Quand vous commencez à courir, vous sprintez à 150 % de votre vitesse normale pendant un maximum de 3 secondes Provoque Épuisement pendant 60/50/40 secondes. Course effrénée ne peut être utilisée pendant Épuisement. Vous ne récupérez pas de l'effet Épuisement en courant.",35
Survivant,Meg Thomas,MT,Adrénaline,Adrenaline,"Alors que vous êtes sur le point de vous échapper, vous vous sentez insufflé d'une énergie nouvelle. Quand le courant électrique des portes de sortie est rétabli, vous récupérez instantanément un segment de santé et courez à 150 % de votre vitesse normale pendant 5 secondes. Adrénaline est en pause si vous êtes immobilisé au moment où elle devrait faire effet et sera activée quand vous serez libéré. Adrénaline vous réveille si vous dormez quand elle est activée. Adrénaline ignore Épuisement . Provoque l'Épuisement pedant 60/50/40 secondes. Vous ne récupérez pas de l'effet Épuisement en courant.",40
Survivant,Dwight Fairfield,DF,Lien,Bond,Débloque une capacité de repérage d'auras. L'aura des alliés vous est révélée quand ils se trouvent dans un rayon de 20/28/36 mètres.,30
Survivant,Dwight Fairfield,DF,Montrez Ce Que Vous Savez Faire,ProveThyself,"Augmente la vitesse de réparation de 15 % par survivant supplémentaire travaillant sur un générateur dans un rayon de 4 mètres. Ce bonus s'applique également à tous les autres survivants à portée. Rapporte 50/75/100 % de points de sang supplémentaires lors des actions en coop. Le survivants ne peuvent pas avoir plus d'un effet ""Montrez Ce Que Vous Savez Faire"" en même temps.",35
Survivant,Dwight Fairfield,DF,Meneur,Leader,"Vous êtes capable d'organiser une équipe pour qu'elle coopère plus efficacement. Augmente la vitesse de soins, de sabotage, de purification, d'ouverture des portes de sortie et de fouille des autres survivants de 15/20/25 %, quand ils se trouvent dans un rayon de 8 mètres autour de vous. Les survivants ne peuvent pas avoir plus d'un effet Meneur à la fois. Même hors de portée du Meneur, l'effet persiste pendant 15 secondes pour les autres survivants.",40
Survivant,Claudette Morel,CM,Empathie,Empathy,Débloque une capacité de repérage d'auras. Celles des alliés en état critique ou blessés vous sont révélées dans un rayon de 64/96/128 mètres. Empathie ne révèle pas l'aura des alliés quand ils sont en contact direct avec le tueur.,30
Survivant,Claudette Morel,CM,Connaissances En Botanique,BotanyKnowledge,Vous transformez les plantes bordant le camp en teintures qui réduisent les hémorragies. La vitesse de soins et l'efficacité des objets de soins augmentent de 11/22/33 %.,35
Survivant,Claudette Morel,CM,Prophylaxie,SelfCare,Débloque la capacité de vous soigner sans objet de soins à 50 % de la vitesse de soins normale. Augmente l'efficacité des auto-soins avec objet de soins de 10/15/20 %.,40
Survivant,Jake Park,JP,Volonté De Fer,IronWill,Vous êtes capable de vous concentrer pour entrer dans un état méditatif qui vous fait oublier la douleur. Les gémissement de douleur causés par les blessures sont réduits de 50/75/100 %.,30
Survivant,Jake Park,JP,Esprit Calme,CalmSpirit,"Les animaux semblent vous faire confiance, car ils ne sont que rarement effrayés par votre présence. Réduit la probabilité d'alerter les animaux des bois de 80/90</100 %. Esprit calme vous permet de surmonter l'envie de crier.",35
